substrate,tide_site,height_above_mllw_min,height_above_mllw_mean
bench,28th,3.8987123844356386,3.9787123844356387
bench,Caulfield,2.45965224017068,2.662985573504013
bench,Copper,3.9562426089606824,4.021242608960682
bench,Crab,3.14136513258153,3.1896984659148635
bench,Eagle,2.5350115818348065,2.721678248501473
bench,Sheepfarm,2.6367464189999996,2.780079752333333
bench,Sketchy,3.02730641064716,3.08730641064716
bench,Sooke,2.573547292492126,2.7335472924921262
bench,Toquart,2.7715976836330385,2.8915976836330386
bench,Ukie,3.2562785736056075,3.3096119069389407
bench,Welbury,2.206559077517017,2.513225744183684
bench,Whyte,3.4990243828101186,3.725691049476785
cobble,28th,2.9187123844356386,2.962045717768972
cobble,Caulfield,2.20965224017068,2.2563189068373464
cobble,Copper,3.3262426089606825,3.381242608960682
cobble,Crab,2.5013651325815305,2.54136513258153
cobble,Eagle,1.8750115818348068,1.9350115818348066
cobble,Sheepfarm,2.036746419,2.076746419
cobble,Sketchy,2.92730641064716,3.0406397439804933
cobble,Sooke,1.3403138270852388,1.4353138270852388
cobble,Toquart,3.8215976836330388,3.914931016966372
cobble,Ukie,2.5762785736056077,2.9696119069389413
cobble,Welbury,1.786559077517017,2.053225744183684
cobble,Whyte,2.8390243828101185,2.8690243828101187
